zipcode,population,poverty_rate,median_income,median_gross_rent,rent_burden
48888,5792,0.15279696132596685,53151,497,0.009350717766363757
48889,1482,0.1214574898785425,57500,121,0.0021043478260869566
48890,1976,0.14473684210526316,65063,178,0.0027358099073205968
48891,2864,0.22136871508379888,55118,110,0.00199571827715084
48892,4740,0.11244725738396624,76931,285,0.0037046184243022967
48893,5274,0.1541524459613197,68099,179,0.0026285261163893742
48894,2386,0.04568315171835708,93750,83,0.0008853333333333333
48895,11331,0.03450710440384785,98075,724,0.007382105531481009
48896,268,0.34328358208955223,-666666666,0,-0.0
48897,1434,0.08577405857740586,71250,79,0.0011087719298245615
48906,25953,0.19997688128540053,57445,3772,0.06566280790321177
48910,33221,0.1773275939917522,50435,6700,0.13284425498165955
48911,40755,0.16891178996442155,54792,7227,0.13189881734559789
48912,16378,0.20289412626694345,50822,4499,0.08852465467710834
48915,10022,0.14687687088405507,54583,1691,0.030980341864683143
48917,32379,0.08471540195805924,71370,6399,0.08965952080706178
48933,3056,0.4015052356020942,35023,1617,0.04616965993775519
49001,20087,0.16314033952307463,54205,3999,0.07377548196660824
49002,19975,0.07389236545682103,68498,2481,0.036220035621478
49004,17870,0.14045886961387802,68361,1756,0.025687160808063075
49006,26730,0.309652076318743,46777,6979,0.14919725506124806
49007,10565,0.33999053478466634,35932,3336,0.09284203495491485
49008,16114,0.12541889040585827,64963,2405,0.0370210735341656
49009,47139,0.10712997730117313,78609,6774,0.08617333893065679
49010,18457,0.12212168824836106,68649,1087,0.015834170927471632
49011,2463,0.07592367032074705,53063,136,0.0025629911614495978
49012,3705,0.11336032388663968,81903,179,0.002185512130202801
49013,5030,0.20934393638170976,56810,347,0.0061080795634571375
49014,21118,0.12638507434416138,64291,2147,0.033395031964038514
49015,29361,0.13793808112802697,65786,3501,0.0532180099109233
49017,20179,0.13662718667922097,55884,2397,0.04289242001288383
49021,6339,0.0919703423252879,74205,297,0.004002425712553062
49022,29985,0.33516758379189593,36647,5244,0.14309493273664967
49024,30539,0.0808146959625397,78666,4483,0.05698777108280579
49026,1666,0.117046818727491,63030,115,0.0018245280025384737
49027,284,0.0880281690140845,86875,13,0.00014964028776978417
49028,5733,0.09785452642595499,64962,493,0.007589052061205012
49029,1341,0.12602535421327368,63542,61,0.0009599949639608448
49030,2486,0.09774738535800483,66167,124,0.001874045974579473
49031,8316,0.1069023569023569,67500,782,0.011585185185185184
49032,3232,0.07116336633663366,67648,162,0.0023947492904446547
49033,1790,0.03519553072625698,86369,85,0.0009841494054579768
49034,2128,0.07612781954887218,70742,119,0.0016821690085097962
49036,24990,0.1539015606242497,58498,2331,0.03984751615439844
49037,20687,0.24512979165659593,39293,3796,0.09660753823836307
49038,8577,0.1260347440830127,61231,933,0.015237379758619
49040,3436,0.11263096623981374,56048,250,0.00446046246074793
49042,4747,0.11754792500526648,70081,445,0.006349795236940113
49043,2166,0.3060941828254848,34441,334,0.009697743967945182
49045,5434,0.16212734633787265,57986,396,0.006829234642844824
49046,7202,0.08025548458761456,83390,297,0.003561578126873726
49047,14350,0.19742160278745643,54415,1644,0.030212257649545163
49048,23626,0.10670447811732836,62081,3746,0.0603405228652889
49050,1428,0.08263305322128851,72679,42,0.0005778835702197334
49051,2970,0.0696969696969697,77083,91,0.0011805456456027918
